Näitaja,Kuu,Aasta,value
Liiklusõnnetused,Kasvavalt kokku,1990,2099.0
Liiklusõnnetused,Kasvavalt kokku,1991,1965.0
Liiklusõnnetused,Kasvavalt kokku,1992,1167.0
Liiklusõnnetused,Kasvavalt kokku,1993,1317.0
Liiklusõnnetused,Kasvavalt kokku,1994,1585.0
Liiklusõnnetused,Kasvavalt kokku,1995,1644.0
Liiklusõnnetused,Kasvavalt kokku,1996,1318.0
Liiklusõnnetused,Kasvavalt kokku,1997,1490.0
Liiklusõnnetused,Kasvavalt kokku,1998,1613.0
Liiklusõnnetused,Kasvavalt kokku,1999,1472.0
Liiklusõnnetused,Kasvavalt kokku,2000,1504.0
Liiklusõnnetused,Kasvavalt kokku,2001,1888.0
Liiklusõnnetused,Kasvavalt kokku,2002,2164.0
Liiklusõnnetused,Kasvavalt kokku,2003,1931.0
Liiklusõnnetused,Kasvavalt kokku,2004,2244.0
Liiklusõnnetused,Kasvavalt kokku,2005,2341.0
Liiklusõnnetused,Kasvavalt kokku,2006,2585.0
Liiklusõnnetused,Kasvavalt kokku,2007,2450.0
Liiklusõnnetused,Kasvavalt kokku,2008,1869.0
Liiklusõnnetused,Kasvavalt kokku,2009,1505.0
Liiklusõnnetused,Kasvavalt kokku,2010,1347.0
Liiklusõnnetused,Kasvavalt kokku,2011,1492.0
Liiklusõnnetused,Kasvavalt kokku,2012,1383.0
Liiklusõnnetused,Kasvavalt kokku,2013,1364.0
Liiklusõnnetused,Kasvavalt kokku,2014,1413.0
Liiklusõnnetused,Kasvavalt kokku,2015,1376.0
Liiklusõnnetused,Kasvavalt kokku,2016,1468.0
Liiklusõnnetused,Kasvavalt kokku,2017,1406.0
Liiklusõnnetused,Kasvavalt kokku,2018,1469.0
Liiklusõnnetused,Kasvavalt kokku,2019,1406.0
Liiklusõnnetused,Kasvavalt kokku,2020,1368.0
Liiklusõnnetused,Kasvavalt kokku,2021,1568.0
Liiklusõnnetused,Kasvavalt kokku,2022,1700.0
Liiklusõnnetused,Kasvavalt kokku,2023,1725.0
Liiklusõnnetused,Kasvavalt kokku,2024,1914.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,1990,
Hukkunuga liiklusõnnetused,Kasvavalt kokku,1991,
Hukkunuga liiklusõnnetused,Kasvavalt kokku,1992,
Hukkunuga liiklusõnnetused,Kasvavalt kokku,1993,
Hukkunuga liiklusõnnetused,Kasvavalt kokku,1994,
Hukkunuga liiklusõnnetused,Kasvavalt kokku,1995,
Hukkunuga liiklusõnnetused,Kasvavalt kokku,1996,
Hukkunuga liiklusõnnetused,Kasvavalt kokku,1997,
Hukkunuga liiklusõnnetused,Kasvavalt kokku,1998,259.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,1999,199.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2000,190.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2001,168.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2002,191.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2003,145.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2004,154.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2005,151.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2006,183.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2007,174.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2008,114.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2009,85.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2010,70.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2011,93.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2012,82.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2013,74.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2014,72.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2015,61.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2016,63.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2017,44.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2018,64.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2019,51.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2020,56.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2021,40.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2022,47.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2023,52.0
Hukkunuga liiklusõnnetused,Kasvavalt kokku,2024,64.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1990,
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1991,
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1992,234.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1993,293.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1994,471.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1995,475.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1996,319.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1997,385.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1998,430.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1999,325.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2000,326.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2001,400.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2002,503.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2003,400.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2004,409.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2005,442.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2006,540.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2007,552.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2008,391.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2009,280.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2010,203.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2011,216.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2012,203.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2013,207.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2014,178.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2015,170.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2016,190.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2017,182.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2018,148.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2019,139.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2020,132.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2021,133.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2022,134.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2023,119.0
Liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2024,121.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1990,
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1991,
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1992,
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1993,
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1994,
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1995,
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1996,
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1997,
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1998,64.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,1999,46.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2000,39.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2001,47.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2002,55.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2003,39.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2004,37.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2005,45.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2006,57.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2007,66.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2008,32.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2009,28.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2010,13.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2011,21.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2012,15.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2013,28.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2014,18.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2015,16.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2016,7.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2017,13.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2018,12.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2019,13.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2020,12.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2021,16.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2022,13.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2023,14.0
Hukkunuga liiklusõnnetused joobes mootorsõidukijuhi osalusel,Kasvavalt kokku,2024,10.0
